2017-02-12 23:33:35,225 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-0.csv
2017-02-12 23:36:54,244 - ___log_ - INFO - Doing regression 0.51; 2011-1
2017-02-12 23:36:57,104 - ___log_ - INFO - Doing regression 0.10; 2009-1
2017-02-12 23:36:59,023 - ___log_ - INFO - Doing regression 0.00; 2012-1
2017-02-12 23:37:01,774 - ___log_ - INFO - Doing regression 0.61; 2011-1
2017-02-12 23:37:05,331 - ___log_ - INFO - Doing regression 0.20; 2009-1
2017-02-12 23:37:05,630 - ___log_ - INFO - Doing regression 0.10; 2012-1
2017-02-12 23:37:06,528 - ___log_ - INFO - Doing regression 0.71; 2011-1
2017-02-12 23:37:12,748 - ___log_ - INFO - Doing regression 0.21; 2012-1
2017-02-12 23:37:12,764 - ___log_ - INFO - Doing regression 0.82; 2011-1
2017-02-12 23:37:13,718 - ___log_ - INFO - Doing regression 0.29; 2009-1
2017-02-12 23:37:16,935 - ___log_ - INFO - Doing regression 0.31; 2012-1
2017-02-12 23:37:18,008 - ___log_ - INFO - Doing regression 0.92; 2011-1
2017-02-12 23:37:23,353 - ___log_ - INFO - Start pickling; 2011-1
2017-02-12 23:37:23,526 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-10.csv
2017-02-12 23:37:23,526 - ___log_ - INFO - Start loading; 2011-10
2017-02-12 23:37:23,683 - ___log_ - INFO - Doing regression 0.41; 2012-1
2017-02-12 23:37:24,331 - ___log_ - INFO - Doing regression 0.00; 2010-1
2017-02-12 23:37:28,868 - ___log_ - INFO - Doing regression 0.39; 2009-1
2017-02-12 23:37:30,247 - ___log_ - INFO - Doing regression 0.52; 2012-1
2017-02-12 23:37:32,478 - ___log_ - INFO - Doing regression 0.09; 2010-1
2017-02-12 23:37:34,556 - ___log_ - INFO - Doing regression 0.62; 2012-1
2017-02-12 23:37:38,926 - ___log_ - INFO - Doing regression 0.49; 2009-1
2017-02-12 23:37:42,155 - ___log_ - INFO - Doing regression 0.72; 2012-1
2017-02-12 23:37:42,933 - ___log_ - INFO - Doing regression 0.19; 2010-1
2017-02-12 23:37:44,877 - ___log_ - INFO - Doing regression 0.59; 2009-1
2017-02-12 23:37:49,186 - ___log_ - INFO - Doing regression 0.82; 2012-1
2017-02-12 23:37:49,755 - ___log_ - INFO - Doing regression 0.28; 2010-1
2017-02-12 23:37:53,915 - ___log_ - INFO - Doing regression 0.69; 2009-1
2017-02-12 23:37:54,094 - ___log_ - INFO - Doing regression 0.93; 2012-1
2017-02-12 23:37:55,038 - ___log_ - INFO - Doing regression 0.37; 2010-1
2017-02-12 23:38:00,581 - ___log_ - INFO - Start pickling; 2012-1
2017-02-12 23:38:00,789 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2012-10.csv
2017-02-12 23:38:00,789 - ___log_ - INFO - Start loading; 2012-10
2017-02-12 23:38:02,585 - ___log_ - INFO - Doing regression 0.47; 2010-1
2017-02-12 23:38:05,838 - ___log_ - INFO - Doing regression 0.78; 2009-1
2017-02-12 23:38:06,162 - ___log_ - INFO - Doing regression 0.00; 2011-10
2017-02-12 23:38:09,954 - ___log_ - INFO - Doing regression 0.56; 2010-1
2017-02-12 23:38:11,012 - ___log_ - INFO - Doing regression 0.10; 2011-10
2017-02-12 23:38:14,451 - ___log_ - INFO - Doing regression 0.88; 2009-1
2017-02-12 23:38:17,258 - ___log_ - INFO - Doing regression 0.20; 2011-10
2017-02-12 23:38:19,945 - ___log_ - INFO - Doing regression 0.65; 2010-1
2017-02-12 23:38:21,920 - ___log_ - INFO - Doing regression 0.98; 2009-1
2017-02-12 23:38:22,556 - ___log_ - INFO - Start pickling; 2009-1
2017-02-12 23:38:22,902 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2009-10.csv
2017-02-12 23:38:22,902 - ___log_ - INFO - Start loading; 2009-10
2017-02-12 23:38:26,669 - ___log_ - INFO - Doing regression 0.31; 2011-10
2017-02-12 23:38:28,965 - ___log_ - INFO - Doing regression 0.75; 2010-1
2017-02-12 23:38:31,211 - ___log_ - INFO - Doing regression 0.41; 2011-10
2017-02-12 23:38:32,855 - ___log_ - INFO - Doing regression 0.00; 2012-10
2017-02-12 23:38:37,269 - ___log_ - INFO - Doing regression 0.84; 2010-1
2017-02-12 23:38:38,414 - ___log_ - INFO - Doing regression 0.10; 2012-10
2017-02-12 23:38:39,275 - ___log_ - INFO - Doing regression 0.51; 2011-10
2017-02-12 23:38:44,053 - ___log_ - INFO - Doing regression 0.21; 2012-10
2017-02-12 23:38:45,484 - ___log_ - INFO - Doing regression 0.93; 2010-1
2017-02-12 23:38:46,760 - ___log_ - INFO - Doing regression 0.61; 2011-10
2017-02-12 23:38:49,793 - ___log_ - INFO - Doing regression 0.31; 2012-10
2017-02-12 23:38:53,849 - ___log_ - INFO - Doing regression 0.71; 2011-10
2017-02-12 23:38:53,953 - ___log_ - INFO - Start pickling; 2010-1
2017-02-12 23:38:54,247 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2010-10.csv
2017-02-12 23:38:54,247 - ___log_ - INFO - Start loading; 2010-10
2017-02-12 23:38:56,059 - ___log_ - INFO - Doing regression 0.42; 2012-10
2017-02-12 23:38:59,211 - ___log_ - INFO - Doing regression 0.82; 2011-10
2017-02-12 23:39:01,999 - ___log_ - INFO - Doing regression 0.52; 2012-10
2017-02-12 23:39:04,991 - ___log_ - INFO - Doing regression 0.92; 2011-10
2017-02-12 23:39:05,688 - ___log_ - INFO - Doing regression 0.00; 2009-10
2017-02-12 23:39:08,796 - ___log_ - INFO - Doing regression 0.62; 2012-10
2017-02-12 23:39:12,466 - ___log_ - INFO - Start pickling; 2011-10
2017-02-12 23:39:12,671 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2011-11.csv
2017-02-12 23:39:12,671 - ___log_ - INFO - Start loading; 2011-11
2017-02-12 23:39:13,407 - ___log_ - INFO - Doing regression 0.73; 2012-10
2017-02-12 23:39:14,999 - ___log_ - INFO - Doing regression 0.10; 2009-10
2017-02-12 23:39:19,560 - ___log_ - INFO - Doing regression 0.20; 2009-10
2017-02-12 23:39:19,785 - ___log_ - INFO - Doing regression 0.83; 2012-10
2017-02-12 23:39:25,118 - ___log_ - INFO - Doing regression 0.29; 2009-10
2017-02-12 23:39:27,223 - ___log_ - INFO - Doing regression 0.94; 2012-10
2017-02-12 23:39:28,712 - ___log_ - INFO - Start pickling; 2012-10
2017-02-12 23:39:28,882 - ___log_ - INFO - Start handling; /Users/JerryHan88/PycharmProjects/taxi_projects/community_analysis/data/tfZ_TP/tfZ_TP-2012-11.csv
2017-02-12 23:39:28,882 - ___log_ - INFO - Start loading; 2012-11
2017-02-12 23:39:31,948 - ___log_ - INFO - Doing regression 0.39; 2009-10
2017-02-12 23:39:36,049 - ___log_ - INFO - Doing regression 0.00; 2011-11
2017-02-12 23:39:38,155 - ___log_ - INFO - Doing regression 0.49; 2009-10
2017-02-12 23:39:42,119 - ___log_ - INFO - Doing regression 0.10; 2011-11
2017-02-12 23:39:44,484 - ___log_ - INFO - Doing regression 0.00; 2010-10
2017-02-12 23:39:46,473 - ___log_ - INFO - Doing regression 0.20; 2011-11
2017-02-12 23:39:48,718 - ___log_ - INFO - Doing regression 0.59; 2009-10
2017-02-12 23:39:49,510 - ___log_ - INFO - Doing regression 0.31; 2011-11
2017-02-12 23:39:50,773 - ___log_ - INFO - Doing regression 0.09; 2010-10
2017-02-12 23:39:54,352 - ___log_ - INFO - Doing regression 0.41; 2011-11
2017-02-12 23:39:56,503 - ___log_ - INFO - Doing regression 0.69; 2009-10
2017-02-12 23:39:57,485 - ___log_ - INFO - Doing regression 0.51; 2011-11
2017-02-12 23:39:59,002 - ___log_ - INFO - Doing regression 0.19; 2010-10
2017-02-12 23:40:04,131 - ___log_ - INFO - Doing regression 0.61; 2011-11
2017-02-12 23:40:06,396 - ___log_ - INFO - Doing regression 0.78; 2009-10
2017-02-12 23:40:07,186 - ___log_ - INFO - Doing regression 0.00; 2012-11
